1687273461.088201,Key.up
1687273462.742696,Key.up
1687273464.675852,Key.up
1687273465.933963,Key.up
1687273467.173026,Key.up
1687273468.618314,Key.up
1687273468.694011,Key.down
1687273474.078785,Key.left
1687273475.483424,Key.down
1687273477.0669491,Key.down
1687273480.076139,Key.down
1687273481.246783,Key.down
1687273482.3632371,Key.down
1687273483.984145,Key.up
1687273485.176446,Key.up
1687273486.276423,Key.up
1687273487.567428,Key.up
1687273489.1262589,Key.up
1687273490.452551,Key.up
1687273491.994325,Key.right
1687273493.212574,Key.right
1687273494.4464939,Key.right
1687273496.4355352,Key.up
1687273497.733061,Key.up
1687273500.038165,Key.down
1687273501.191964,Key.down
1687273502.265086,Key.down
1687273504.475761,Key.left
1687273505.5586472,Key.left
1687273506.770613,'q'
